STN,YEAR,MON,DAY,HR,O3(PPB)
ARH,2015,1,7,19,12.13
ARH,2015,1,7,20,12.5
ARH,2015,1,7,21,12.48
ARH,2015,1,7,22,12.55
ARH,2015,1,7,23,12.43
ARH,2015,1,8,0,12.5
ARH,2015,1,8,1,12.61
ARH,2015,1,8,2,12.92
ARH,2015,1,8,3,13.24
ARH,2015,1,8,4,13.5
ARH,2015,1,8,5,13.34
ARH,2015,1,8,6,13.18
ARH,2015,1,8,7,13.14
ARH,2015,1,8,8,13.12
ARH,2015,1,8,9,13.12
ARH,2015,1,8,10,13.21
ARH,2015,1,8,11,13.25
ARH,2015,1,8,12,13.13
ARH,2015,1,8,13,13.09
ARH,2015,1,8,14,13.2
ARH,2015,1,8,15,13.27
ARH,2015,1,8,16,13.42
ARH,2015,1,8,17,13.73
ARH,2015,1,8,18,14.23
ARH,2015,1,8,19,14.12
ARH,2015,1,8,20,14.34
ARH,2015,1,8,21,14.32
ARH,2015,1,8,22,14.3
ARH,2015,1,8,23,14.4
ARH,2015,1,9,0,14.8
ARH,2015,1,9,1,15.45
ARH,2015,1,9,2,14.9
ARH,2015,1,9,3,14.72
ARH,2015,1,9,4,14.69
ARH,2015,1,9,5,14.61
ARH,2015,1,9,6,14.19
ARH,2015,1,9,7,14.7
ARH,2015,1,9,8,14.97
ARH,2015,1,9,9,15.01
ARH,2015,1,9,10,14.83
ARH,2015,1,9,11,14.68
ARH,2015,1,9,12,14.76
ARH,2015,1,9,13,14.89
ARH,2015,1,9,14,15.04
ARH,2015,1,9,15,14.63
ARH,2015,1,9,16,14.54
ARH,2015,1,9,17,14.72
ARH,2015,1,9,18,14.99
ARH,2015,1,9,19,14.83
ARH,2015,1,9,20,14.99
ARH,2015,1,9,21,15
ARH,2015,1,9,22,14.76
ARH,2015,1,9,23,14.78
ARH,2015,1,10,0,14.89
ARH,2015,1,10,1,15.24
ARH,2015,1,10,2,15.21
ARH,2015,1,10,3,15.18
ARH,2015,1,10,4,15.03
ARH,2015,1,10,5,15.48
ARH,2015,1,10,6,15.56
ARH,2015,1,10,7,15.52
ARH,2015,1,10,8,15.18
